student_id,age,engagement_level,task_type,task_difficulty,time_spent_on_task,accuracy_of_responses,emotion_score,frustration_level,skill_gap,personalized_feedback,optimized_learning_path,learning_progress,progress_category
5,12,6.59,Grammar,Easy,545,99,0.06,7,Grammar,Practice grammar rules.,Listening → Speaking → Writing,44.31,Medium
5,16,7.66,Writing,Hard,422,99,0.15,1,Vocabulary,Good progress.,Writing → Reading → Listening,50.97,Medium
5,11,8.46,Grammar,Easy,172,90,0.99,3,Vocabulary,Practice grammar rules.,Reading → Grammar → Speaking,38.51,Low
5,17,6.14,Listening,Easy,533,86,0.99,1,None,Focus on synonyms.,Listening → Speaking → Writing,35.49,Low
5,13,0.89,Reading,Easy,249,98,-0.15,5,Pronunciation,Focus on synonyms.,Listening → Speaking → Writing,33.3,Low
5,13,4.88,Listening,Hard,189,94,0.27,3,Grammar,Improve pronunciation.,Listening → Speaking → Writing,37.96,Low
5,17,0.78,Reading,Easy,105,87,-0.04,6,Pronunciation,Good progress.,Listening → Speaking → Writing,37.32,Low
5,16,4.08,Grammar,Medium,61,71,0.44,1,Grammar,Good progress.,Listening → Speaking → Writing,37.39,Low
5,15,4.07,Speaking,Hard,363,63,0.88,8,Pronunciation,Improve pronunciation.,Reading → Grammar → Speaking,19.75,Low
5,15,0.66,Writing,Medium,554,64,-0.38,4,None,Improve pronunciation.,Reading → Grammar → Speaking,21.91,Low
6,16,3.49,Grammar,Medium,469,95,0.64,0,None,Good progress.,Writing → Reading → Listening,30.63,Low
6,15,1.11,Reading,Hard,381,53,0.31,10,Pronunciation,Good progress.,Listening → Speaking → Writing,30.55,Low
6,12,8.08,Reading,Easy,368,67,-0.44,2,Vocabulary,Practice grammar rules.,Writing → Reading → Listening,30.83,Low
6,13,9.48,Reading,Medium,429,50,0.59,3,Grammar,Good progress.,Listening → Speaking → Writing,21.38,Low
6,16,0.72,Reading,Hard,425,61,-0.15,2,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,16.43,Low
6,13,9.55,Writing,Easy,231,90,-0.76,5,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,39.36,Low
6,17,5.23,Listening,Hard,559,91,0.99,5,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,36.45,Low
6,10,3.0,Speaking,Hard,122,99,-0.15,9,Grammar,Practice grammar rules.,Listening → Speaking → Writing,31.63,Low
6,12,0.77,Writing,Hard,387,66,0.08,10,Grammar,Focus on synonyms.,Writing → Reading → Listening,25.19,Low
6,14,5.01,Reading,Easy,425,68,0.62,6,None,Improve pronunciation.,Reading → Grammar → Speaking,35.23,Low
7,12,7.95,Writing,Medium,89,85,0.92,8,Pronunciation,Improve pronunciation.,Listening → Speaking → Writing,35.28,Low
7,16,7.07,Grammar,Medium,506,97,0.75,9,Pronunciation,Good progress.,Writing → Reading → Listening,46.9,Medium
7,14,0.5,Reading,Hard,30,56,0.05,8,Pronunciation,Improve pronunciation.,Reading → Grammar → Speaking,30.53,Low
7,10,0.73,Speaking,Hard,584,58,0.09,6,None,Improve pronunciation.,Listening → Speaking → Writing,22.48,Low
7,16,4.03,Reading,Easy,340,57,-0.44,10,None,Focus on synonyms.,Reading → Grammar → Speaking,23.56,Low
7,11,2.95,Speaking,Hard,197,74,-0.07,0,Grammar,Practice grammar rules.,Listening → Speaking → Writing,33.99,Low
7,13,2.32,Speaking,Hard,221,56,0.89,2,None,Practice grammar rules.,Writing → Reading → Listening,29.01,Low
7,10,2.81,Listening,Hard,63,91,0.45,4,Pronunciation,Practice grammar rules.,Listening → Speaking → Writing,44.96,Medium
7,13,8.03,Listening,Medium,63,57,-0.98,9,Pronunciation,Improve pronunciation.,Listening → Speaking → Writing,32.9,Low
7,15,9.29,Writing,Hard,446,73,-0.77,10,Vocabulary,Improve pronunciation.,Writing → Reading → Listening,28.32,Low
8,11,4.05,Writing,Medium,187,66,0.85,5,None,Good progress.,Writing → Reading → Listening,35.39,Low
8,11,9.06,Speaking,Easy,529,61,0.7,5,Pronunciation,Focus on synonyms.,Writing → Reading → Listening,30.19,Low
8,10,3.21,Reading,Easy,395,95,-0.03,4,Pronunciation,Focus on synonyms.,Listening → Speaking → Writing,36.95,Low
8,11,4.76,Grammar,Medium,369,80,0.23,5,Grammar,Good progress.,Reading → Grammar → Speaking,28.21,Low
8,14,2.26,Grammar,Medium,364,61,-0.42,8,None,Good progress.,Writing → Reading → Listening,21.29,Low
8,11,6.4,Reading,Medium,356,51,0.59,0,Pronunciation,Good progress.,Reading → Grammar → Speaking,25.14,Low
8,13,9.79,Reading,Medium,143,61,0.21,0,Grammar,Practice grammar rules.,Writing → Reading → Listening,25.88,Low
8,13,6.03,Listening,Hard,447,76,0.39,8,Vocabulary,Practice grammar rules.,Writing → Reading → Listening,34.22,Low
8,16,3.58,Grammar,Medium,497,95,-0.25,7,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,33.74,Low
8,13,6.48,Speaking,Medium,172,56,-0.14,8,Grammar,Practice grammar rules.,Writing → Reading → Listening,20.78,Low
9,16,1.23,Writing,Medium,338,62,-0.58,6,None,Good progress.,Reading → Grammar → Speaking,25.12,Low
9,13,8.89,Listening,Hard,430,85,0.9,9,Pronunciation,Good progress.,Listening → Speaking → Writing,35.91,Low
9,14,5.03,Grammar,Hard,349,50,0.89,5,None,Good progress.,Writing → Reading → Listening,15.62,Low
9,17,4.49,Reading,Hard,241,98,0.64,8,Grammar,Practice grammar rules.,Reading → Grammar → Speaking,37.6,Low
9,16,5.86,Grammar,Easy,346,84,0.87,1,Pronunciation,Practice grammar rules.,Listening → Speaking → Writing,27.54,Low
9,12,6.25,Speaking,Hard,214,79,0.33,3,Pronunciation,Improve pronunciation.,Reading → Grammar → Speaking,34.51,Low
9,15,0.72,Listening,Medium,234,80,-0.53,1,Pronunciation,Good progress.,Listening → Speaking → Writing,40.75,Medium
9,10,6.83,Reading,Hard,393,66,0.52,5,None,Focus on synonyms.,Listening → Speaking → Writing,25.12,Low
9,13,2.42,Speaking,Hard,245,57,-0.35,0,None,Focus on synonyms.,Listening → Speaking → Writing,19.76,Low
9,11,7.14,Writing,Medium,275,52,-0.12,6,Grammar,Improve pronunciation.,Writing → Reading → Listening,28.26,Low
10,17,8.23,Listening,Hard,268,59,-0.45,6,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,20.62,Low
10,13,8.04,Speaking,Easy,420,83,-0.15,6,Grammar,Good progress.,Writing → Reading → Listening,41.04,Medium
10,11,5.53,Speaking,Hard,549,71,0.36,3,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,24.75,Low
10,15,5.2,Reading,Easy,306,53,-0.78,7,Grammar,Practice grammar rules.,Writing → Reading → Listening,21.28,Low
10,15,1.43,Writing,Easy,231,81,-0.79,4,Vocabulary,Focus on synonyms.,Writing → Reading → Listening,32.22,Low
10,15,7.75,Speaking,Easy,243,78,0.37,1,Grammar,Focus on synonyms.,Listening → Speaking → Writing,37.95,Low
10,11,2.71,Listening,Medium,507,95,0.56,4,Vocabulary,Good progress.,Writing → Reading → Listening,48.77,Medium
10,13,4.97,Speaking,Hard,537,60,0.1,9,Vocabulary,Good progress.,Reading → Grammar → Speaking,23.86,Low
10,15,2.84,Grammar,Easy,104,95,-0.64,8,Pronunciation,Practice grammar rules.,Reading → Grammar → Speaking,38.96,Low
10,14,1.34,Listening,Easy,171,62,-0.14,9,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,16.75,Low
11,16,6.3,Listening,Hard,351,53,0.52,0,None,Improve pronunciation.,Writing → Reading → Listening,23.89,Low
11,11,0.54,Speaking,Medium,490,51,0.37,10,Grammar,Practice grammar rules.,Reading → Grammar → Speaking,26.34,Low
11,11,7.49,Reading,Medium,175,83,-0.78,1,Grammar,Improve pronunciation.,Reading → Grammar → Speaking,48.16,Medium
11,13,3.18,Listening,Easy,83,92,0.94,9,None,Practice grammar rules.,Writing → Reading → Listening,36.06,Low
11,11,0.0,Grammar,Medium,385,71,-0.55,7,None,Practice grammar rules.,Writing → Reading → Listening,32.28,Low
11,11,5.11,Reading,Hard,306,54,-0.56,4,Pronunciation,Practice grammar rules.,Listening → Speaking → Writing,29.52,Low
11,15,0.47,Reading,Medium,429,58,-0.08,8,Grammar,Good progress.,Reading → Grammar → Speaking,16.35,Low
11,13,2.76,Reading,Hard,545,69,-0.35,5,None,Good progress.,Listening → Speaking → Writing,36.02,Low
11,15,7.07,Listening,Easy,528,70,0.97,7,Pronunciation,Good progress.,Reading → Grammar → Speaking,26.39,Low
11,16,0.63,Reading,Hard,340,66,-0.85,0,Grammar,Improve pronunciation.,Writing → Reading → Listening,28.91,Low
12,17,8.39,Speaking,Easy,300,61,-0.39,8,Grammar,Improve pronunciation.,Reading → Grammar → Speaking,20.8,Low
12,16,0.04,Reading,Hard,478,77,-0.23,8,None,Good progress.,Reading → Grammar → Speaking,29.18,Low
12,17,2.47,Grammar,Hard,141,67,-0.01,2,Vocabulary,Improve pronunciation.,Reading → Grammar → Speaking,19.9,Low
12,15,7.41,Writing,Medium,268,52,-0.97,0,Vocabulary,Good progress.,Writing → Reading → Listening,25.36,Low
12,16,3.16,Grammar,Hard,173,54,-0.84,7,None,Focus on synonyms.,Writing → Reading → Listening,30.52,Low
12,13,1.02,Listening,Easy,403,63,-0.48,7,Vocabulary,Good progress.,Reading → Grammar → Speaking,25.97,Low
12,10,3.6,Reading,Hard,49,97,0.11,8,Grammar,Focus on synonyms.,Reading → Grammar → Speaking,32.87,Low
12,15,2.7,Reading,Easy,318,75,0.54,5,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,29.62,Low
12,17,8.43,Speaking,Easy,226,68,0.37,8,Pronunciation,Improve pronunciation.,Writing → Reading → Listening,31.0,Low
12,14,3.13,Reading,Hard,411,90,0.13,9,None,Improve pronunciation.,Writing → Reading → Listening,36.31,Low
13,17,7.89,Grammar,Medium,521,66,-0.21,8,Pronunciation,Good progress.,Reading → Grammar → Speaking,32.36,Low
13,14,8.92,Listening,Hard,193,88,0.74,3,None,Practice grammar rules.,Listening → Speaking → Writing,48.65,Medium
13,11,4.34,Writing,Hard,278,91,-0.08,10,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,37.41,Low
13,16,9.1,Reading,Medium,97,53,-0.4,4,Grammar,Practice grammar rules.,Writing → Reading → Listening,23.88,Low
13,14,3.77,Writing,Easy,50,91,0.26,5,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,34.43,Low
13,17,9.64,Reading,Hard,541,84,0.38,5,None,Improve pronunciation.,Reading → Grammar → Speaking,42.14,Medium
13,11,0.89,Listening,Medium,419,73,-0.2,9,Grammar,Good progress.,Listening → Speaking → Writing,39.12,Low
13,10,6.87,Grammar,Medium,565,90,-0.94,1,Grammar,Good progress.,Listening → Speaking → Writing,38.01,Low
13,13,4.94,Listening,Easy,140,62,-0.81,3,Grammar,Focus on synonyms.,Listening → Speaking → Writing,28.26,Low
13,13,3.88,Writing,Medium,489,82,0.69,8,Vocabulary,Improve pronunciation.,Writing → Reading → Listening,34.98,Low
14,13,6.33,Reading,Easy,107,64,-0.89,6,Grammar,Focus on synonyms.,Reading → Grammar → Speaking,24.06,Low
14,14,7.04,Writing,Hard,463,64,0.18,8,Vocabulary,Practice grammar rules.,Writing → Reading → Listening,31.58,Low
14,10,0.04,Grammar,Medium,409,80,-0.63,5,Vocabulary,Good progress.,Listening → Speaking → Writing,32.31,Low
14,14,1.67,Listening,Hard,469,92,-0.54,10,Grammar,Focus on synonyms.,Writing → Reading → Listening,38.44,Low
14,16,7.13,Writing,Medium,368,77,-0.45,6,None,Improve pronunciation.,Reading → Grammar → Speaking,38.17,Low
14,14,6.66,Writing,Medium,453,59,-0.92,8,Grammar,Good progress.,Reading → Grammar → Speaking,24.16,Low
14,10,9.66,Grammar,Hard,198,56,-0.65,3,Grammar,Improve pronunciation.,Reading → Grammar → Speaking,26.47,Low
14,10,7.61,Reading,Medium,291,82,0.3,8,Vocabulary,Good progress.,Reading → Grammar → Speaking,31.66,Low
14,16,9.51,Writing,Hard,258,56,-0.0,2,Grammar,Improve pronunciation.,Listening → Speaking → Writing,20.59,Low
14,10,7.03,Grammar,Hard,190,54,0.59,10,None,Improve pronunciation.,Listening → Speaking → Writing,24.32,Low
15,17,2.98,Reading,Easy,456,75,-0.88,7,Grammar,Good progress.,Listening → Speaking → Writing,32.23,Low
15,10,1.05,Reading,Hard,151,65,0.78,2,None,Improve pronunciation.,Listening → Speaking → Writing,31.73,Low
15,13,7.82,Listening,Easy,178,57,0.99,2,Pronunciation,Improve pronunciation.,Listening → Speaking → Writing,22.13,Low
15,17,6.44,Grammar,Hard,140,71,-0.97,2,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,25.88,Low
15,17,0.48,Reading,Medium,250,83,0.94,8,Pronunciation,Good progress.,Reading → Grammar → Speaking,42.43,Medium
15,16,3.6,Listening,Hard,93,89,-0.53,9,Grammar,Focus on synonyms.,Listening → Speaking → Writing,37.44,Low
15,12,9.57,Speaking,Medium,383,77,0.39,2,Vocabulary,Good progress.,Reading → Grammar → Speaking,27.59,Low
15,12,5.0,Grammar,Easy,503,95,-0.42,5,None,Good progress.,Reading → Grammar → Speaking,39.72,Low
15,10,4.33,Speaking,Medium,514,85,0.04,10,Pronunciation,Practice grammar rules.,Listening → Speaking → Writing,32.01,Low
15,17,4.58,Reading,Hard,42,96,0.02,3,None,Focus on synonyms.,Listening → Speaking → Writing,42.27,Medium
16,12,2.09,Grammar,Medium,182,56,-0.28,1,Vocabulary,Focus on synonyms.,Reading → Grammar → Speaking,21.84,Low
16,12,3.69,Listening,Easy,268,89,0.44,2,None,Focus on synonyms.,Reading → Grammar → Speaking,43.69,Medium
16,10,3.7,Reading,Medium,219,92,0.2,4,None,Improve pronunciation.,Reading → Grammar → Speaking,32.01,Low
16,12,0.52,Grammar,Medium,115,77,0.02,9,Pronunciation,Improve pronunciation.,Writing → Reading → Listening,37.45,Low
16,14,7.68,Grammar,Hard,50,51,0.97,3,None,Improve pronunciation.,Writing → Reading → Listening,27.12,Low
16,11,4.17,Speaking,Hard,348,58,0.88,4,Pronunciation,Focus on synonyms.,Reading → Grammar → Speaking,26.67,Low
16,16,8.22,Reading,Medium,187,55,0.91,10,Vocabulary,Good progress.,Writing → Reading → Listening,29.64,Low
16,11,8.5,Listening,Easy,510,50,0.76,0,Pronunciation,Good progress.,Reading → Grammar → Speaking,29.63,Low
16,10,2.12,Listening,Medium,105,52,-0.49,3,None,Focus on synonyms.,Reading → Grammar → Speaking,22.14,Low
16,13,6.57,Reading,Easy,358,59,-0.3,10,Vocabulary,Focus on synonyms.,Listening → Speaking → Writing,33.72,Low
17,16,4.72,Reading,Easy,445,86,-0.54,9,Grammar,Practice grammar rules.,Reading → Grammar → Speaking,39.01,Low
17,10,8.8,Writing,Easy,232,93,0.97,2,Grammar,Improve pronunciation.,Listening → Speaking → Writing,37.9,Low
17,17,2.16,Speaking,Medium,258,72,-0.69,1,Vocabulary,Improve pronunciation.,Listening → Speaking → Writing,23.61,Low
17,13,6.78,Reading,Easy,181,82,-0.27,6,Vocabulary,Improve pronunciation.,Reading → Grammar → Speaking,40.6,Medium
17,11,6.08,Reading,Medium,101,58,-0.6,9,None,Practice grammar rules.,Writing → Reading → Listening,25.12,Low
17,10,2.95,Writing,Easy,254,62,-0.55,8,Grammar,Practice grammar rules.,Reading → Grammar → Speaking,16.93,Low
17,17,1.37,Writing,Easy,502,77,-0.51,0,Vocabulary,Practice grammar rules.,Reading → Grammar → Speaking,33.88,Low
17,16,6.52,Grammar,Medium,389,100,0.28,6,Grammar,Focus on synonyms.,Writing → Reading → Listening,41.07,Medium
17,16,7.39,Listening,Hard,569,56,-0.85,10,Grammar,Practice grammar rules.,Listening → Speaking → Writing,21.27,Low
17,15,3.16,Speaking,Hard,75,75,0.15,0,None,Good progress.,Writing → Reading → Listening,36.99,Low
18,17,6.45,Grammar,Medium,30,65,0.64,4,Vocabulary,Focus on synonyms.,Reading → Grammar → Speaking,24.6,Low
18,14,3.95,Reading,Medium,274,89,0.53,0,Pronunciation,Focus on synonyms.,Reading → Grammar → Speaking,35.52,Low
18,12,7.13,Writing,Hard,248,75,-0.7,2,Vocabulary,Improve pronunciation.,Writing → Reading → Listening,31.86,Low
18,13,1.99,Listening,Hard,320,100,0.83,7,Grammar,Improve pronunciation.,Writing → Reading → Listening,45.98,Medium
18,17,8.9,Grammar,Hard,487,88,0.54,3,Pronunciation,Practice grammar rules.,Writing → Reading → Listening,32.7,Low
18,15,2.87,Listening,Medium,233,81,-0.99,0,Pronunciation,Good progress.,Listening → Speaking → Writing,31.1,Low
18,12,3.68,Writing,Easy,231,85,0.47,0,Grammar,Focus on synonyms.,Writing → Reading → Listening,38.23,Low
18,12,0.58,Grammar,Medium,595,91,0.47,7,Pronunciation,Focus on synonyms.,Reading → Grammar → Speaking,39.35,Low
18,10,1.12,Grammar,Hard,511,50,-0.01,7,Pronunciation,Focus on synonyms.,Writing → Reading → Listening,15.01,Low
18,12,5.16,Listening,Easy,540,98,-0.91,3,Vocabulary,Improve pronunciation.,Reading → Grammar → Speaking,39.48,Low
19,14,2.68,Writing,Medium,307,70,0.16,3,Grammar,Improve pronunciation.,Listening → Speaking → Writing,28.92,Low
19,16,8.35,Reading,Hard,45,62,0.53,9,None,Good progress.,Listening → Speaking → Writing,28.84,Low
19,15,0.15,Grammar,Medium,554,100,-0.46,10,Pronunciation,Improve pronunciation.,Writing → Reading → Listening,39.0,Low
19,12,3.79,Reading,Easy,385,75,0.33,1,Grammar,Good progress.,Reading → Grammar → Speaking,39.73,Low
19,10,3.37,Writing,Hard,385,94,-0.29,1,Vocabulary,Improve pronunciation.,Listening → Speaking → Writing,39.02,Low
19,14,0.19,Grammar,Medium,107,58,0.15,5,Vocabulary,Good progress.,Writing → Reading → Listening,31.3,Low
19,11,1.24,Grammar,Easy,96,86,-0.23,7,Vocabulary,Improve pronunciation.,Listening → Speaking → Writing,32.75,Low
19,16,4.14,Reading,Easy,243,72,-0.39,6,Pronunciation,Improve pronunciation.,Writing → Reading → Listening,22.44,Low
19,16,4.93,Speaking,Medium,478,50,0.71,6,None,Practice grammar rules.,Reading → Grammar → Speaking,34.43,Low
19,15,4.04,Reading,Easy,462,51,0.51,2,Vocabulary,Practice grammar rules.,Writing → Reading → Listening,21.98,Low
20,16,5.31,Reading,Hard,574,92,-0.31,1,None,Practice grammar rules.,Reading → Grammar → Speaking,41.14,Medium
20,12,5.95,Speaking,Easy,144,77,-0.13,9,Grammar,Good progress.,Listening → Speaking → Writing,25.43,Low
20,10,0.1,Writing,Medium,449,85,0.38,6,Vocabulary,Good progress.,Reading → Grammar → Speaking,35.74,Low
20,16,4.64,Writing,Hard,528,80,0.62,3,Pronunciation,Good progress.,Reading → Grammar → Speaking,38.2,Low
20,16,9.63,Grammar,Easy,409,90,0.37,0,Vocabulary,Good progress.,Listening → Speaking → Writing,34.16,Low
20,11,5.19,Listening,Easy,172,54,0.08,0,Pronunciation,Practice grammar rules.,Reading → Grammar → Speaking,23.44,Low
20,11,6.78,Listening,Hard,53,86,0.91,3,Grammar,Focus on synonyms.,Reading → Grammar → Speaking,36.83,Low
20,13,3.12,Grammar,Hard,568,74,0.55,4,None,Improve pronunciation.,Writing → Reading → Listening,24.73,Low
20,14,7.74,Listening,Easy,104,57,-0.77,4,None,Improve pronunciation.,Reading → Grammar → Speaking,33.84,Low
20,12,7.73,Reading,Hard,564,83,0.12,0,None,Good progress.,Writing → Reading → Listening,23.14,Low
21,16,5.21,Reading,Medium,70,88,-0.18,2,Vocabulary,Practice grammar rules.,Reading → Grammar → Speaking,26.87,Low
21,17,9.76,Speaking,Easy,597,98,0.59,5,Vocabulary,Focus on synonyms.,Listening → Speaking → Writing,43.16,Medium
21,16,1.26,Speaking,Medium,442,81,-0.91,9,Grammar,Practice grammar rules.,Reading → Grammar → Speaking,27.9,Low
21,10,0.17,Grammar,Easy,444,60,-0.18,6,None,Improve pronunciation.,Reading → Grammar → Speaking,27.84,Low
21,13,7.7,Grammar,Medium,478,96,-0.36,10,Grammar,Good progress.,Reading → Grammar → Speaking,38.98,Low
21,14,8.07,Grammar,Medium,465,74,-0.72,0,Pronunciation,Good progress.,Writing → Reading → Listening,35.01,Low
21,17,1.2,Reading,Hard,581,52,-0.24,7,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,14.62,Low
21,13,2.66,Listening,Easy,268,94,0.35,3,None,Good progress.,Listening → Speaking → Writing,37.11,Low
21,15,0.18,Grammar,Hard,71,99,-0.28,8,Vocabulary,Focus on synonyms.,Reading → Grammar → Speaking,37.64,Low
21,14,2.93,Grammar,Hard,39,81,0.16,10,None,Improve pronunciation.,Reading → Grammar → Speaking,45.0,Medium
22,16,7.73,Reading,Easy,294,84,0.19,10,None,Focus on synonyms.,Writing → Reading → Listening,33.65,Low
22,16,5.18,Reading,Medium,474,81,0.17,5,Vocabulary,Practice grammar rules.,Listening → Speaking → Writing,23.01,Low
22,14,3.48,Reading,Easy,168,83,0.06,0,Vocabulary,Improve pronunciation.,Reading → Grammar → Speaking,40.75,Medium
22,16,3.72,Listening,Easy,225,86,-0.77,1,Grammar,Focus on synonyms.,Reading → Grammar → Speaking,35.2,Low
22,12,0.01,Grammar,Easy,103,54,-0.56,2,Vocabulary,Focus on synonyms.,Listening → Speaking → Writing,23.75,Low
22,14,3.0,Writing,Hard,254,94,0.6,1,Vocabulary,Focus on synonyms.,Reading → Grammar → Speaking,37.67,Low
22,13,6.46,Writing,Easy,131,77,0.0,9,Vocabulary,Improve pronunciation.,Reading → Grammar → Speaking,26.46,Low
22,14,9.74,Grammar,Easy,293,77,0.41,6,Pronunciation,Improve pronunciation.,Listening → Speaking → Writing,40.66,Medium
22,17,8.47,Grammar,Easy,190,57,0.14,0,Pronunciation,Good progress.,Writing → Reading → Listening,21.45,Low
22,16,0.24,Grammar,Medium,262,76,-0.92,8,Pronunciation,Practice grammar rules.,Reading → Grammar → Speaking,23.26,Low
23,12,8.99,Grammar,Medium,520,65,0.59,1,Grammar,Good progress.,Reading → Grammar → Speaking,31.95,Low
23,12,7.83,Listening,Medium,340,67,-0.87,3,Grammar,Practice grammar rules.,Listening → Speaking → Writing,30.63,Low
23,15,7.8,Writing,Medium,256,74,0.89,7,None,Improve pronunciation.,Listening → Speaking → Writing,37.59,Low
23,13,4.58,Speaking,Hard,302,97,-0.57,10,Grammar,Focus on synonyms.,Writing → Reading → Listening,41.58,Medium
23,11,3.98,Writing,Hard,346,50,0.02,2,Vocabulary,Good progress.,Writing → Reading → Listening,21.62,Low
23,11,3.03,Writing,Easy,115,57,-0.87,8,None,Improve pronunciation.,Reading → Grammar → Speaking,28.45,Low
